Method/Property,Line,FilePath,Code
GetInfoFromBytePointer,111,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetRecordSize,135,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetValueLength,137,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetRMWCopyDestinationRecordSize,142,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetTombstoneRecordSize,145,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetAverageRecordSize,148,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetFixedRecordSize,150,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetRMWInitialRecordSize,152,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetRecordSize,155,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetUpsertRecordSize,157,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetKeyAddressInfo,190,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetValueAddressInfo,193,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetPhysicalAddress,213,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/GenericAllocatorImpl.cs,CA1822
GetRMWCopyDestinationRecordSize,125,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/SpanByteAllocatorImpl.cs,CA1822
GetTombstoneRecordSize,135,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/SpanByteAllocatorImpl.cs,CA1822
GetAverageRecordSize,176,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/SpanByteAllocatorImpl.cs,CA1822
GetRMWInitialRecordSize,181,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/SpanByteAllocatorImpl.cs,CA1822
GetUpsertRecordSize,189,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/SpanByteAllocatorImpl.cs,CA1822
GetRecordSize,197,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/SpanByteAllocatorImpl.cs,CA1822
PopulatePage,345,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Allocator/SpanByteAllocatorImpl.cs,CA1822
CheckIsAcquiredLockable,69,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/ClientSession/ClientSession.cs,CA1822
CheckIsNotAcquiredLockable,76,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/ClientSession/ClientSession.cs,CA1822
Initialize,27,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Index/CheckpointManagement/NullNamedDeviceFactory.cs,CA1822
TryPromoteLock,48,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Index/Tsavorite/Implementation/Locking/OverflowBucketLockTable.cs,CA1822
TryTransientXLock,14,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Index/Tsavorite/Implementation/Locking/TransientLocking.cs,CA1822
TryTransientSLock,38,garnet-1.0.92/libs/storage/Tsavorite/cs/src/core/Index/Tsavorite/Implementation/Locking/TransientLocking.cs,CA1822
TryConnectSocketAsync,163,garnet-1.0.92/libs/common/LightClient.cs,CA1822
Equals,59,garnet-1.0.92/libs/server/Resp/ByteArrayComparer.cs,CA1822
Create,71,garnet-1.0.92/libs/server/Resp/ByteArrayComparer.cs,CA1822
IsUserNameAuthorized,112,garnet-1.0.92/libs/server/Auth/GarnetAadAuthenticator.cs,CA1822
GetCustomRespCommand,378,garnet-1.0.92/libs/server/Custom/CustomCommandManager.cs,CA1822
GetCustomGarnetObjectType,386,garnet-1.0.92/libs/server/Custom/CustomCommandManager.cs,CA1822
Length,198,garnet-1.0.92/libs/server/InputHeader.cs,CA1822
GetDatabaseStoreStats,245,garnet-1.0.92/libs/server/Metrics/Info/GarnetInfoMetrics.cs,CA1822
GetDatabaseObjectStoreStats,281,garnet-1.0.92/libs/server/Metrics/Info/GarnetInfoMetrics.cs,CA1822
GetDatabasePersistenceStats,361,garnet-1.0.92/libs/server/Metrics/Info/GarnetInfoMetrics.cs,CA1822
GetOptions,39,garnet-1.0.92/libs/server/Objects/SortedSet/SortedSetObjectImpl.cs,CA1822
WriteSortedSetResult,533,garnet-1.0.92/libs/server/Objects/SortedSet/SortedSetObjectImpl.cs,CA1822
TryParseLexParameter,1124,garnet-1.0.92/libs/server/Objects/SortedSet/SortedSetObjectImpl.cs,CA1822
ConvertToHeap,78,garnet-1.0.92/libs/server/Objects/Types/GarnetObjectStoreOutput.cs,CA1822
Match,405,garnet-1.0.92/libs/server/PubSub/SubscribeBroker.cs,CA1822
ListMove,861,garnet-1.0.92/libs/server/Resp/Objects/ListCommands.cs,CA1822
GetCheckpointDirectoryName,540,garnet-1.0.92/libs/server/Servers/GarnetServerOptions.cs,CA1822
GetAppendOnlyFileDirectoryName,568,garnet-1.0.92/libs/server/Servers/GarnetServerOptions.cs,CA1822
Initialize,590,garnet-1.0.92/libs/server/Servers/GarnetServerOptions.cs,CA1822
GetBitFieldArguments,771,garnet-1.0.92/libs/server/Storage/Functions/MainStore/PrivateMethods.cs,CA1822
IncorrectObjectType,193,garnet-1.0.92/libs/server/Storage/Functions/ObjectStore/PrivateMethods.cs,CA1822
RMW_MainStore,74,garnet-1.0.92/libs/server/Storage/Session/MainStore/AdvancedOps.cs,CA1822
Read_MainStore,88,garnet-1.0.92/libs/server/Storage/Session/MainStore/AdvancedOps.cs,CA1822
ReadWithPrefetch,103,garnet-1.0.92/libs/server/Storage/Session/MainStore/AdvancedOps.cs,CA1822
GETDEL,190,garnet-1.0.92/libs/server/Storage/Session/MainStore/MainStoreOps.cs,CA1822
SET,337,garnet-1.0.92/libs/server/Storage/Session/MainStore/MainStoreOps.cs,CA1822
SET,344,garnet-1.0.92/libs/server/Storage/Session/MainStore/MainStoreOps.cs,CA1822
SET,494,garnet-1.0.92/libs/server/Storage/Session/MainStore/MainStoreOps.cs,CA1822
SETRANGE,1136,garnet-1.0.92/libs/server/Storage/Session/MainStore/MainStoreOps.cs,CA1822
Increment,1152,garnet-1.0.92/libs/server/Storage/Session/MainStore/MainStoreOps.cs,CA1822
SCAN,1207,garnet-1.0.92/libs/server/Storage/Session/MainStore/MainStoreOps.cs,CA1822
RMW_ObjectStore,14,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/AdvancedOps.cs,CA1822
Read_ObjectStore,33,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/AdvancedOps.cs,CA1822
ReadObjectStoreOperation,725,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/Common.cs,CA1822
ReadObjectStoreOperation,761,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/Common.cs,CA1822
CompletePendingAndGetGarnetStatus,812,garnet-1.0.92/libs/server/Storage/Session/ObjectStore/Common.cs,CA1822
ValidateCertificateName,218,garnet-1.0.92/libs/server/TLS/GarnetTlsOptions.cs,CA1822
GetSlotVerificationMessage,42,garnet-1.0.92/libs/cluster/Session/SlotVerification/RespClusterSlotVerify.cs,CA1822
IsValid,184,garnet-1.0.92/modules/GarnetJSON/JSONPath/ArraySliceFilter.cs,CA1822
IsValid,203,garnet-1.0.92/modules/GarnetJSON/JSONPath/ScanArraySliceFilter.cs,CA1822
GetBitmapSizes,20,garnet-1.0.92/benchmark/BDN.benchmark/Bitmap/BinaryOperations.cs,CA1822
GetBitmapSize,17,garnet-1.0.92/benchmark/BDN.benchmark/Bitmap/UnaryOperations.cs,CA1822
ClusterParamsProvider,26,garnet-1.0.92/benchmark/BDN.benchmark/Cluster/ClusterMigrate.cs,CA1822
ClusterParamsProvider,23,garnet-1.0.92/benchmark/BDN.benchmark/Cluster/ClusterOperations.cs,CA1822
GeoToLongValue,20,garnet-1.0.92/benchmark/BDN.benchmark/Geo/GeoHash.cs,CA1822
GetCoordinatesFromLong,23,garnet-1.0.92/benchmark/BDN.benchmark/Geo/GeoHash.cs,CA1822
GetGeoHashCode,26,garnet-1.0.92/benchmark/BDN.benchmark/Geo/GeoHash.cs,CA1822
LuaParamsProvider,141,garnet-1.0.92/benchmark/BDN.benchmark/Lua/LuaRunnerOperations.cs,CA1822
LuaParamsProvider,24,garnet-1.0.92/benchmark/BDN.benchmark/Lua/LuaScriptCacheOperations.cs,CA1822
LuaParamsProvider,24,garnet-1.0.92/benchmark/BDN.benchmark/Lua/LuaScripts.cs,CA1822
LuaParamsProvider,38,garnet-1.0.92/benchmark/BDN.benchmark/Lua/LuaTimeouts.cs,CA1822
NetworkParamsProvider,25,garnet-1.0.92/benchmark/BDN.benchmark/Network/NetworkBase.cs,CA1822
SetupOperation,69,garnet-1.0.92/benchmark/BDN.benchmark/Network/NetworkBase.cs,CA1822
OperationParamsProvider,27,garnet-1.0.92/benchmark/BDN.benchmark/Operations/OperationsBase.cs,CA1822
SetupOperation,108,garnet-1.0.92/benchmark/BDN.benchmark/Operations/OperationsBase.cs,CA1822
SetupOperation,116,garnet-1.0.92/benchmark/BDN.benchmark/Operations/OperationsBase.cs,CA1822
SetupOperation,127,garnet-1.0.92/benchmark/BDN.benchmark/Operations/OperationsBase.cs,CA1822
GetStat,327,garnet-1.0.92/test/Garnet.test.cluster/ClusterManagementTests.cs,CA1822
ExecuteTxnBulkRead,768,garnet-1.0.92/test/Garnet.test.cluster/ClusterTestContext.cs,CA1822
singleSlotKeys,114,garnet-1.0.92/test/Garnet.test.cluster/RedirectTests/BaseCommand.cs,CA1822
crossSlotKeys,136,garnet-1.0.92/test/Garnet.test.cluster/RedirectTests/BaseCommand.cs,CA1822
PopulateStore,121,garnet-1.0.92/test/Garnet.test/ExpiredKeyDeletionTests.cs,CA1822
CheckExistenceConditionOnAllKeys,152,garnet-1.0.92/test/Garnet.test/ExpiredKeyDeletionTests.cs,CA1822
GenerateDataset,1642,garnet-1.0.92/test/Garnet.test/MultiDatabaseTests.cs,CA1822
MakeReadOnly,589,garnet-1.0.92/test/Garnet.test/RespEtagTests.cs,CA1822
EtagAndValMatches,1624,garnet-1.0.92/test/Garnet.test/RespEtagTests.cs,CA1822
MakeReadOnly,31,garnet-1.0.92/test/Garnet.test/RespLowMemoryTests.cs,CA1822
SubscribeAndPublish,204,garnet-1.0.92/test/Garnet.test/RespPubSubTests.cs,CA1822
TestRevivifyAsync,154,garnet-1.0.92/test/Garnet.test/RespRevivificationTests.cs,CA1822
IsArray,83,garnet-1.0.92/test/Garnet.test/Resp/ACL/UserAclResult.cs,CA1822
IsValue,88,garnet-1.0.92/test/Garnet.test/Resp/ACL/UserAclResult.cs,CA1822
