Method/Property,Line,FilePath,Code
ListEntryWithArgument,356,ShareX-18.0.1/ShareX.HelpersLib/NameParser/NameParser.cs,CA1822
ListEntryWithValues,364,ShareX-18.0.1/ShareX.HelpersLib/NameParser/NameParser.cs,CA1822
SplitImageAsync,80,ShareX-18.0.1/ShareX.MediaLib/Forms/ImageSplitterForm.cs,CA1822
PrepareArguments,497,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/SendSpace.cs,CA1822
CustomUploaderUpdateFolder,309,ShareX-18.0.1/ShareX.UploadersLib/Forms/CustomUploaderSettingsForm.cs,CA1822
OAuth2Complete,851,ShareX-18.0.1/ShareX.UploadersLib/Forms/UploadersConfigFormHelper.cs,CA1822
OAuth2Refresh,870,ShareX-18.0.1/ShareX.UploadersLib/Forms/UploadersConfigFormHelper.cs,CA1822
DrawInfoText,1123,ShareX-18.0.1/ShareX.ScreenCaptureLib/Forms/RegionCaptureForm.cs,CA1822
CaptureRectangleNative,112,ShareX-18.0.1/ShareX.ScreenCaptureLib/Screenshot.cs,CA1822
DrawTail,220,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/StepDrawingShape.cs,CA1822
DrawText,81,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/TextDrawingShape.cs,CA1822
CreateMetadata,143,ShareX-18.0.1/ShareX/CaptureHelpers/CaptureBase.cs,CA1822
CreateMetadata,148,ShareX-18.0.1/ShareX/CaptureHelpers/CaptureBase.cs,CA1822
SetEnumCheckedContextMenu,121,ShareX-18.0.1/ShareX/Controls/HotkeySelectionControl.cs,CA1822
Edit,67,ShareX-18.0.1/ShareX/Forms/QuickTaskMenuEditorForm.cs,CA1822
SetEnumCheckedContextMenu,598,ShareX-18.0.1/ShareX/Forms/TaskSettingsForm.cs,CA1822
CheckCLIHotkey,129,ShareX-18.0.1/ShareX/ShareXCLIManager.cs,CA1822
GetFileMetadataAsync,110,ShareX-18.0.1/ShareX/Tools/MetadataForm.cs,CA1822
ListEntryWithValue,380,ShareX-18.0.1/ShareX.HelpersLib/NameParser/NameParser.cs,CA1822
UseCommandLineArgs,46,ShareX-18.0.1/ShareX/ShareXCLIManager.cs,CA1822
