Method/Property,Line,FilePath,Code
ParseCLI,97,ShareX-18.0.1/ShareX.HelpersLib/CLI/CLIManager.cs,CA1822
Round,399,ShareX-18.0.1/ShareX.HelpersLib/Colors/ColorUserControl.cs,CA1822
FillTreeView,131,ShareX-18.0.1/ShareX.HelpersLib/Controls/TabToTreeView.cs,CA1822
uintToBigEndianBytes,141,ShareX-18.0.1/ShareX.HelpersLib/Cryptographic/Crc32.cs,CA1822
HashCheckThread,86,ShareX-18.0.1/ShareX.HelpersLib/Cryptographic/HashChecker.cs,CA1822
ChangeComposition,52,ShareX-18.0.1/ShareX.HelpersLib/DWMManager.cs,CA1822
CheckExtension,152,ShareX-18.0.1/ShareX.HelpersLib/ExternalProgram.cs,CA1822
AddRecentColor,186,ShareX-18.0.1/ShareX.HelpersLib/Forms/ColorPickerForm.cs,CA1822
CreateHeaderBlock,91,ShareX-18.0.1/ShareX.HelpersLib/GIF/AnimatedGifCreator.cs,CA1822
CreateApplicationExtensionBlock,96,ShareX-18.0.1/ShareX.HelpersLib/GIF/AnimatedGifCreator.cs,CA1822
CreateGraphicsControlExtensionBlock,121,ShareX-18.0.1/ShareX.HelpersLib/GIF/AnimatedGifCreator.cs,CA1822
GetTypeOfNextBlock,154,ShareX-18.0.1/ShareX.HelpersLib/GIF/GifClass.cs,CA1822
ThrowAwayExtensionBlock,226,ShareX-18.0.1/ShareX.HelpersLib/GIF/GifClass.cs,CA1822
ToStringWithSpaces,152,ShareX-18.0.1/ShareX.HelpersLib/Input/HotkeyInfo.cs,CA1822
GetKeyEventArgs,114,ShareX-18.0.1/ShareX.HelpersLib/Input/KeyboardHook.cs,CA1822
ListEntryWithArguments,343,ShareX-18.0.1/ShareX.HelpersLib/NameParser/NameParser.cs,CA1822
Read,34,ShareX-18.0.1/ShareX.HelpersLib/NativeMessagingHost.cs,CA1822
Write,54,ShareX-18.0.1/ShareX.HelpersLib/NativeMessagingHost.cs,CA1822
DrawAutoScaledImage,181,ShareX-18.0.1/ShareX.HelpersLib/Printer/PrintHelper.cs,CA1822
GetDefaultWebProxy,86,ShareX-18.0.1/ShareX.HelpersLib/ProxyInfo.cs,CA1822
GetArtifacts,51,ShareX-18.0.1/ShareX.HelpersLib/UpdateChecker/AppVeyor.cs,CA1822
GetArtifactDownloadURL,64,ShareX-18.0.1/ShareX.HelpersLib/UpdateChecker/AppVeyor.cs,CA1822
CreateFont,65,ShareX-18.0.1/ShareX.HelpersLib/XmlFont.cs,CA1822
EditListViewItem,312,ShareX-18.0.1/ShareX.HistoryLib/Forms/HistoryForm.cs,CA1822
CreateMockHistoryItem,53,ShareX-18.0.1/ShareX.HistoryLib/HistoryManagerMock.cs,CA1822
ParseHistoryItem,85,ShareX-18.0.1/ShareX.HistoryLib/HistoryManagerXML.cs,CA1822
AddDefaultGradient,118,ShareX-18.0.1/ShareX.ImageEffectsLib/Drawings/DrawTextEx.cs,CA1822
AddDefaultGradient,85,ShareX-18.0.1/ShareX.ImageEffectsLib/Filters/Glow.cs,CA1822
GetFooter,161,ShareX-18.0.1/ShareX.IndexerLib/IndexerHtml.cs,CA1822
GetFooter,113,ShareX-18.0.1/ShareX.IndexerLib/IndexerText.cs,CA1822
SplitImage,56,ShareX-18.0.1/ShareX.MediaLib/Forms/ImageSplitterForm.cs,CA1822
MigrateOldSyntax,397,ShareX-18.0.1/ShareX.UploadersLib/CustomUploader/CustomUploaderItem.cs,CA1822
CreateCanonicalHeaders,313,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/AmazonS3.cs,CA1822
GetSignedHeaders,319,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/AmazonS3.cs,CA1822
GetLinkURL,191,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/Copy.cs,CA1822
ParseAsset,81,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/DropIO.cs,CA1822
GetMetadata,116,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/GoogleDrive.cs,CA1822
DeserializeResponse,192,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/MediaFire.cs,CA1822
GenerateDisplayName,200,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/Mega.cs,CA1822
GetFolderUrl,186,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/OneDrive.cs,CA1822
ParseUploadResponse,141,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/SendSpace.cs,CA1822
PrepareArguments,477,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/SendSpace.cs,CA1822
CustomUploaderSerialize,279,ShareX-18.0.1/ShareX.UploadersLib/Forms/CustomUploaderSettingsForm.cs,CA1822
CheckDataGridView,454,ShareX-18.0.1/ShareX.UploadersLib/Forms/CustomUploaderSettingsForm.cs,CA1822
DataGridViewToDictionary,493,ShareX-18.0.1/ShareX.UploadersLib/Forms/CustomUploaderSettingsForm.cs,CA1822
CustomUploaderSyntaxHighlight,691,ShareX-18.0.1/ShareX.UploadersLib/Forms/CustomUploaderSettingsForm.cs,CA1822
CustomUploaderSyntaxHighlight,93,ShareX-18.0.1/ShareX.UploadersLib/Forms/CustomUploaderSyntaxTestForm.cs,CA1822
ParseSyntax,128,ShareX-18.0.1/ShareX.UploadersLib/Forms/CustomUploaderSyntaxTestForm.cs,CA1822
AddInfo,73,ShareX-18.0.1/ShareX.UploadersLib/Forms/ResponseForm.cs,CA1822
FTPTestAccount,590,ShareX-18.0.1/ShareX.UploadersLib/Forms/UploadersConfigFormHelper.cs,CA1822
SendSpaceRegister,661,ShareX-18.0.1/ShareX.UploadersLib/Forms/UploadersConfigFormHelper.cs,CA1822
OAuth2Open,826,ShareX-18.0.1/ShareX.UploadersLib/Forms/UploadersConfigFormHelper.cs,CA1822
ConfigureOAuthStatus,889,ShareX-18.0.1/ShareX.UploadersLib/Forms/UploadersConfigFormHelper.cs,CA1822
ParseError,403,ShareX-18.0.1/ShareX.UploadersLib/ImageUploaders/Imgur.cs,CA1822
CleanBase64,78,ShareX-18.0.1/ShareX.UploadersLib/OAuth/OAuth2ProofKey.cs,CA1822
GetPrivacy,146,ShareX-18.0.1/ShareX.UploadersLib/TextUploaders/Pastebin.cs,CA1822
GetExpiration,160,ShareX-18.0.1/ShareX.UploadersLib/TextUploaders/Pastebin.cs,CA1822
DrawInfoText,1129,ShareX-18.0.1/ShareX.ScreenCaptureLib/Forms/RegionCaptureForm.cs,CA1822
DrawRuler,1463,ShareX-18.0.1/ShareX.ScreenCaptureLib/Forms/RegionCaptureForm.cs,CA1822
AppendInputDevice,341,ShareX-18.0.1/ShareX.ScreenCaptureLib/ScreenRecording/ScreenRecordingOptions.cs,CA1822
CaptureRectangleNative,118,ShareX-18.0.1/ShareX.ScreenCaptureLib/Screenshot.cs,CA1822
CaptureRectangleManaged,153,ShareX-18.0.1/ShareX.ScreenCaptureLib/Screenshot.cs,CA1822
CreateTransparentImage,166,ShareX-18.0.1/ShareX.ScreenCaptureLib/Screenshot_Transparent.cs,CA1822
TrimShadow,207,ShareX-18.0.1/ShareX.ScreenCaptureLib/Screenshot_Transparent.cs,CA1822
RemoveCorners,325,ShareX-18.0.1/ShareX.ScreenCaptureLib/Screenshot_Transparent.cs,CA1822
DrawEllipse,58,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/EllipseDrawingShape.cs,CA1822
DrawRectangle,72,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/RectangleDrawingShape.cs,CA1822
CreateTailPath,194,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/SpeechBalloonDrawingShape.cs,CA1822
DrawNumber,208,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/StepDrawingShape.cs,CA1822
CreateTailPath,250,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/StepDrawingShape.cs,CA1822
DrawText,86,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/TextDrawingShape.cs,CA1822
IsShapeTypeRegion,1804,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/ShapeManager.cs,CA1822
CreateMetadata,153,ShareX-18.0.1/ShareX/CaptureHelpers/CaptureBase.cs,CA1822
ExecuteRegionCaptureLight,130,ShareX-18.0.1/ShareX/CaptureHelpers/CaptureRegion.cs,CA1822
