Method/Property,Line,FilePath,Code
ApplyTranscodingConditions,1695,jellyfin-10.11.6/MediaBrowser.Model/Dlna/StreamBuilder.cs,CA1822
GetRank,2247,jellyfin-10.11.6/MediaBrowser.Model/Dlna/StreamBuilder.cs,CA1822
CheckVideoConditions,2271,jellyfin-10.11.6/MediaBrowser.Model/Dlna/StreamBuilder.cs,CA1822
GetStreamBuilder,573,jellyfin-10.11.6/tests/Jellyfin.Model.Tests/Dlna/StreamBuilderTests.cs,CA1822
FindMainAudioBookFile,139,jellyfin-10.11.6/Emby.Naming/AudioBook/AudioBookListResolver.cs,CA1822
FillAdditional,213,jellyfin-10.11.6/Emby.Naming/TV/EpisodePathParser.cs,CA1822
TestStackInfo,397,jellyfin-10.11.6/tests/Jellyfin.Naming.Tests/Video/StackTests.cs,CA1822
GetPlayAccess,1055,jellyfin-10.11.6/MediaBrowser.Controller/Entities/BaseItem.cs,CA1822
GetImageInfo,2263,jellyfin-10.11.6/MediaBrowser.Controller/Entities/BaseItem.cs,CA1822
AllowsMultipleImages,2299,jellyfin-10.11.6/MediaBrowser.Controller/Entities/BaseItem.cs,CA1822
GetPhysicalParents,356,jellyfin-10.11.6/MediaBrowser.Controller/Entities/CollectionFolder.cs,CA1822
RefreshAllMetadataForContainer,566,jellyfin-10.11.6/MediaBrowser.Controller/Entities/Folder.cs,CA1822
RunTasks,622,jellyfin-10.11.6/MediaBrowser.Controller/Entities/Folder.cs,CA1822
QueryWithPostFiltering2,750,jellyfin-10.11.6/MediaBrowser.Controller/Entities/Folder.cs,CA1822
RequiresPostFiltering2,796,jellyfin-10.11.6/MediaBrowser.Controller/Entities/Folder.cs,CA1822
AddChildrenFromCollection,1395,jellyfin-10.11.6/MediaBrowser.Controller/Entities/Folder.cs,CA1822
GetLibraryFolderIds,194,jellyfin-10.11.6/MediaBrowser.Controller/Entities/Movies/BoxSet.cs,CA1822
GetSpecialItemsLimit,129,jellyfin-10.11.6/MediaBrowser.Controller/Entities/UserViewBuilder.cs,CA1822
ConvertToResult,241,jellyfin-10.11.6/MediaBrowser.Controller/Entities/UserViewBuilder.cs,CA1822
GetTaggedItems,123,jellyfin-10.11.6/MediaBrowser.Controller/LiveTv/LiveTvChannel.cs,CA1822
GetConfiguration,225,jellyfin-10.11.6/MediaBrowser.Controller/LiveTv/LiveTvProgram.cs,CA1822
IsVulkanHwTonemapAvailable,376,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
IsVideoToolboxTonemapAvailable,411,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
IsVideoStreamHevcRext,427,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetUserAgentParam,493,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetRefererParam,508,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
InferAudioCodec,655,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
InferVideoCodec,679,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetVideoProfileScore,707,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetRkmppDeviceArgs,797,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetVideoToolboxDeviceArgs,805,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetCudaDeviceArgs,813,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetVulkanDeviceArgs,827,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetOpenclDeviceArgs,847,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetD3d11vaDeviceArgs,867,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetDrmDeviceArgs,907,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetFilterHwDeviceArgs,943,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetGraphicalSubCanvasSize,950,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetFramerateParam,1878,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
CanStreamCopyAudio,2499,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetMinBitrate,2599,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetAudioBitrateParam,2674,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
