type_file_name,type_name,type_parents,type_inherited_parents,type_unknown_parents,type_inherited_function_signatures,function_name,function_stereotype,function_line_number,function_signature,function_unit_language,function_parameters_list,function_return_type,function_specifiers,function_external_calls,function_internal_calls,function_attributes,function_field_used,function_fields_modified,function_calls_on_fields
"ShareX-18.0.1/ShareX/UploadInfoParser.cs","UploadInfoParser","NameParser","N/A","False","ListEntryWithArgument(,) ListEntryWithArguments(,,) ListEntryWithValue(,) ListEntryWithValues(,,) Parse() SanitizeInput()","Parse","property non-void-command collaborator","45","Parse(,)","C#","(TaskInfo info, string pattern)","public string","public","string.IsNullOrEmpty() string.IsNullOrEmpty() string.IsNullOrEmpty() string.IsNullOrEmpty() Path.GetFileNameWithoutExtension() string.IsNullOrEmpty() Path.GetDirectoryName() string.IsNullOrEmpty() Path.GetFileName() Path.GetDirectoryName() string.IsNullOrEmpty() Path.GetFileNameWithoutExtension() string.IsNullOrEmpty() Path.GetFileName()","Parse()","N/A","False","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenOptionsForm.Designer.cs","PinToScreenOptionsForm","Form","N/A","True","N/A","Dispose","command collaborator","14","Dispose()","C#","(bool disposing)","protected override void","override protected","N/A","base.Dispose()","N/A","True","False","True"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenOptionsForm.Designer.cs","PinToScreenOptionsForm","Form","N/A","True","N/A","InitializeComponent","command collaborator","29","InitializeComponent()","C#","()","private void","private","N/A","this.SuspendLayout() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.ResumeLayout() this.PerformLayout()","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenOptionsForm.cs","PinToScreenOptionsForm","Form","N/A","True","N/A","PinToScreenOptionsForm","constructor","37","N/A","C#","(PinToScreenOptions options)","N/A","N/A","N/A","N/A","N/A","False","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenOptionsForm.cs","PinToScreenOptionsForm","Form","N/A","True","N/A","InitOptions","set collaborator","48","InitOptions()","C#","()","private void","private","Helpers.GetLocalizedEnumDescriptions()","N/A","N/A","True","False","True"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenOptionsForm.cs","PinToScreenOptionsForm","Form","N/A","True","N/A","LoadOptions","command collaborator","53","LoadOptions()","C#","()","private void","private","N/A","N/A","N/A","True","True","True"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenOptionsForm.cs","PinToScreenOptionsForm","Form","N/A","True","N/A","SaveOptions","set collaborator","67","SaveOptions()","C#","()","private void","private","Helpers.GetEnumFromIndex()","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenOptionsForm.cs","PinToScreenOptionsForm","Form","N/A","True","N/A","btnOK_Click","command collaborator","80","btnOK_Click(,)","C#","(object sender, EventArgs e)","private void","private","Close()","SaveOptions()","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenOptionsForm.cs","PinToScreenOptionsForm","Form","N/A","True","N/A","btnCancel_Click","set collaborator","88","btnCancel_Click(,)","C#","(object sender, EventArgs e)","private void","private","Close()","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/WatchFolder.cs","WatchFolder","IDisposable","N/A","True","N/A","Enable","command collaborator","48","Enable()","C#","()","public virtual void","virtual public","FileHelpers.ExpandFolderVariables() string.IsNullOrEmpty() Directory.Exists() string.IsNullOrEmpty()","Dispose()","N/A","True","True","False"
"ShareX-18.0.1/ShareX/WatchFolder.cs","WatchFolder","IDisposable","N/A","True","N/A","OnFileWatcherTrigger","incidental","66","OnFileWatcherTrigger()","C#","(string path)","protected void","protected","N/A","N/A","N/A","False","False","False"
"ShareX-18.0.1/ShareX/WatchFolder.cs","WatchFolder","IDisposable","N/A","True","N/A","fileWatcher_Created","command collaborator","71","fileWatcher_Created(,)","C#","(object sender, FileSystemEventArgs e)","private async void","async private","Helpers.WaitWhileAsync(,) FileHelpers.IsFileLocked() FileHelpers.GetFileSize()","CleanElapsedTimers() OnFileWatcherTrigger()","N/A","True","False","True"
"ShareX-18.0.1/ShareX/WatchFolder.cs","WatchFolder","IDisposable","N/A","True","N/A","CleanElapsedTimers","set collaborator","113","CleanElapsedTimers()","C#","()","protected void","protected","N/A","N/A","N/A","True","False","True"
"ShareX-18.0.1/ShareX/WatchFolder.cs","WatchFolder","IDisposable","N/A","True","N/A","Dispose","set collaborator","124","Dispose()","C#","()","public void","public","N/A","N/A","N/A","True","False","True"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.Designer.cs","PinToScreenForm","Form","N/A","True","N/A","InitializeComponent","command collaborator","16","InitializeComponent()","C#","()","private void","private","N/A","this.SuspendLayout() this.Controls.Add() this.ResumeLayout() this.PerformLayout()","N/A","True","True","True"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","PinToScreenForm","constructor","142","N/A","C#","(PinToScreenOptions options)","N/A","N/A","N/A","N/A","N/A","False","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","PinToScreenForm","constructor","166","N/A","C#","(Image image, PinToScreenOptions options, Point? location = null)","N/A","N/A","N/A","N/A","N/A","False","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","Dispose","command collaborator","227","Dispose()","C#","(bool disposing)","protected override void","override protected","N/A","base.Dispose()","N/A","True","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","UpdateControls","command collaborator","240","UpdateControls()","C#","()","private void","private","PointToClient() ClientRectangle.Contains() ClientRectangle.Contains()","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","AutoSizeForm","command collaborator","249","AutoSizeForm()","C#","()","private void","private","Refresh() NativeMethods.SetWindowPos(,,,,,,)","UpdateControls()","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","SetHandCursor","set collaborator","277","SetHandCursor()","C#","(bool grabbing)","private void","private","N/A","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","ResetImage","command","295","ResetImage()","C#","()","private void","private","N/A","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","ToggleMinimize","command","301","ToggleMinimize()","C#","()","private void","private","N/A","AutoSizeForm()","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","tsbCopy_Click","wrapper","320","tsbCopy_Click(,)","C#","(object sender, EventArgs e)","private void","private","ClipboardHelpers.CopyImage()","N/A","N/A","True","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","tslScale_Click","set collaborator","325","tslScale_Click(,)","C#","(object sender, EventArgs e)","private void","private","N/A","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","tsbOptions_Click","command collaborator","333","tsbOptions_Click(,)","C#","(object sender, EventArgs e)","private void","private","pinToScreenOptionsForm.ShowDialogTopMost()","AutoSizeForm()","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","tsbClose_Click","wrapper stateless","351","tsbClose_Click(,)","C#","(object sender, EventArgs e)","private void","private","Close()","N/A","N/A","False","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","WndProc","command collaborator","356","WndProc()","C#","(ref Message m)","protected override void","override protected","NativeMethods.SetNCRenderingPolicy(,) Helpers.IsWindows11OrGreater() NativeMethods.SetWindowCornerPreference(,) NativeMethods.DwmExtendFrameIntoClientArea(,)","base.WndProc()","N/A","True","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","OnPaintBackground","empty","381","OnPaintBackground()","C#","(PaintEventArgs e)","protected override void","override protected","N/A","N/A","N/A","False","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","OnPaint","set collaborator","386","OnPaint()","C#","(PaintEventArgs e)","protected override void","override protected","ia.SetWrapMode()","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","PinToScreenForm_MouseDown","command collaborator","439","PinToScreenForm_MouseDown(,)","C#","(object sender, MouseEventArgs e)","private void","private","N/A","ToggleMinimize() SetHandCursor()","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","PinToScreenForm_MouseMove","set collaborator","456","PinToScreenForm_MouseMove(,)","C#","(object sender, MouseEventArgs e)","private void","private","Update()","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","PinToScreenForm_MouseUp","command collaborator","465","PinToScreenForm_MouseUp(,)","C#","(object sender, MouseEventArgs e)","private void","private","Close()","SetHandCursor() ResetImage()","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","PinToScreenForm_MouseWheel","command collaborator","489","PinToScreenForm_MouseWheel(,)","C#","(object sender, MouseEventArgs e)","private void","private","N/A","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","PinToScreenForm_MouseEnter","command collaborator","519","PinToScreenForm_MouseEnter(,)","C#","(object sender, EventArgs e)","private void","private","N/A","UpdateControls()","N/A","False","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","PinToScreenForm_MouseLeave","command collaborator","524","PinToScreenForm_MouseLeave(,)","C#","(object sender, EventArgs e)","private void","private","N/A","UpdateControls()","N/A","False","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","tsMain_MouseLeave","command collaborator","529","tsMain_MouseLeave(,)","C#","(object sender, EventArgs e)","private void","private","N/A","UpdateControls()","N/A","False","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","PinToScreenForm_KeyDown","set collaborator","534","PinToScreenForm_KeyDown(,)","C#","(object sender, KeyEventArgs e)","private void","private","N/A","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","PinToScreenForm_KeyUp","command collaborator","555","PinToScreenForm_KeyUp(,)","C#","(object sender, KeyEventArgs e)","private void","private","ClipboardHelpers.CopyImage()","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","get","get","49","get","C#","N/A","public int","N/A","N/A","N/A","N/A","True","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","set","non-void-command","53","set","C#","N/A","public int","N/A","value.Clamp(,)","AutoSizeForm() UpdateControls()","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","get","property factory wrapper","73","get","C#","N/A","public Size","N/A","Math.Round() Math.Round()","N/A","N/A","True","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","get","property controller","81","get","C#","N/A","public Size","N/A","N/A","N/A","N/A","True","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","get","get","107","get","C#","N/A","public int","N/A","N/A","N/A","N/A","True","False","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","set","non-void-command","111","set","C#","N/A","public int","N/A","value.Clamp(,)","N/A","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/PinToScreen/PinToScreenForm.cs","PinToScreenForm","Form","N/A","True","N/A","get","property controller","134","get","C#","N/A","protected override CreateParams","N/A","N/A","N/A","N/A","True","False","False"
"ShareX-18.0.1/ShareX/Tools/OCR/OCRLanguage.cs","OCRLanguage","N/A","N/A","False","N/A","OCRLanguage","constructor","33","N/A","C#","(string displayName, string languageTag)","N/A","N/A","N/A","N/A","N/A","False","False","False"
"ShareX-18.0.1/ShareX/Tools/OCR/OCRLanguage.cs","OCRLanguage","N/A","N/A","False","N/A","ToString","get","39","ToString()","C#","()","public override string","override public","N/A","N/A","N/A","True","False","False"
"ShareX-18.0.1/ShareX/Tools/OCR/OCRForm.Designer.cs","OCRForm","Form","N/A","True","N/A","InitializeComponent","command collaborator","16","InitializeComponent()","C#","()","private void","private","N/A","this.SuspendLayout() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.Controls.Add() this.ResumeLayout() this.PerformLayout()","N/A","True","True","False"
"ShareX-18.0.1/ShareX/Tools/OCR/OCRForm.cs","OCRForm","Form","N/A","True","N/A","OCRForm","constructor","45","N/A","C#","(Bitmap bmp, OCROptions options)","N/A","N/A","N/A","N/A","N/A","False","False","False"
