type_file_name,type_name,type_parents,type_inherited_parents,type_unknown_parents,type_inherited_function_signatures,function_name,function_stereotype,function_line_number,function_signature,function_unit_language,function_parameters_list,function_return_type,function_specifiers,function_external_calls,function_internal_calls,function_attributes,function_field_used,function_fields_modified,function_calls_on_fields
"garnet-1.0.92/test/Garnet.test/TestProcess.cs","GarnetServerTestProcess","IDisposable","N/A","True","N/A","GarnetServerTestProcess","constructor","25","N/A","C#","(Dictionary<string, string> env, int port = 7000)","N/A","N/A","N/A","N/A","N/A","False","False","False"
"garnet-1.0.92/test/Garnet.test/TestProcess.cs","GarnetServerTestProcess","IDisposable","N/A","True","N/A","~GarnetServerTestProcess","constructor","149","N/A","C#","()","N/A","N/A","N/A","N/A","N/A","False","False","False"
"garnet-1.0.92/test/Garnet.test/TestProcess.cs","GarnetServerTestProcess","IDisposable","N/A","True","N/A","Dispose","set collaborator","167","Dispose()","C#","()","public void","public","KillProcess(,,) GC.SuppressFinalize()","N/A","N/A","True","True","False"
"garnet-1.0.92/test/Garnet.test/TestProcedureSortedSets.cs","TestProcedureSortedSets","CustomTransactionProcedure","CustomProcedureBase","False","AddKey(,,) ExecuteCustomObjectCommand(,,,,) ExecuteCustomRawStringCommand(,,,,) Finalize(,,) Main(,,) Prepare(,)","Prepare","predicate non-void-command collaborator","22","Prepare(,)","C#","(TGarnetReadApi api, ref CustomProcedureInput procInput)","public override bool","override public","GetNextArg(,)","AddKey(,,)","N/A","False","False","False"
"garnet-1.0.92/test/Garnet.test/TestProcedureSortedSets.cs","TestProcedureSortedSets","CustomTransactionProcedure","CustomProcedureBase","False","AddKey(,,) ExecuteCustomObjectCommand(,,,,) ExecuteCustomRawStringCommand(,,,,) Finalize(,,) Main(,,) Prepare(,)","Main","wrapper stateless","35","Main(,,)","C#","(TGarnetApi api, ref CustomProcedureInput procInput, ref MemoryResult<byte> output)","public override void","override public","TestAPI(,) WriteSimpleString(,)","N/A","N/A","False","False","False"
"garnet-1.0.92/test/Garnet.test/TestProcedureHash.cs","TestProcedureHash","CustomTransactionProcedure","CustomProcedureBase","False","AddKey(,,) ExecuteCustomObjectCommand(,,,,) ExecuteCustomRawStringCommand(,,,,) Finalize(,,) Main(,,) Prepare(,)","Prepare","predicate non-void-command collaborator","22","Prepare(,)","C#","(TGarnetReadApi api, ref CustomProcedureInput procInput)","public override bool","override public","GetNextArg(,)","AddKey(,,)","N/A","False","False","False"
"garnet-1.0.92/test/Garnet.test/TestProcedureHash.cs","TestProcedureHash","CustomTransactionProcedure","CustomProcedureBase","False","AddKey(,,) ExecuteCustomObjectCommand(,,,,) ExecuteCustomRawStringCommand(,,,,) Finalize(,,) Main(,,) Prepare(,)","Main","wrapper stateless","34","Main(,,)","C#","(TGarnetApi api, ref CustomProcedureInput procInput, ref MemoryResult<byte> output)","public override void","override public","TestAPI(,) WriteSimpleString(,)","N/A","N/A","False","False","False"
"garnet-1.0.92/test/Garnet.test/TestProcedureHLL.cs","TestProcedureHLL","CustomTransactionProcedure","CustomProcedureBase","False","AddKey(,,) ExecuteCustomObjectCommand(,,,,) ExecuteCustomRawStringCommand(,,,,) Finalize(,,) Main(,,) Prepare(,)","Prepare","predicate non-void-command collaborator","21","Prepare(,)","C#","(TGarnetReadApi api, ref CustomProcedureInput procInput)","public override bool","override public","GetNextArg(,)","AddKey(,,)","N/A","False","False","False"
"garnet-1.0.92/test/Garnet.test/TestProcedureHLL.cs","TestProcedureHLL","CustomTransactionProcedure","CustomProcedureBase","False","AddKey(,,) ExecuteCustomObjectCommand(,,,,) ExecuteCustomRawStringCommand(,,,,) Finalize(,,) Main(,,) Prepare(,)","Main","wrapper stateless","33","Main(,,)","C#","(TGarnetApi api, ref CustomProcedureInput procInput, ref MemoryResult<byte> output)","public override void","override public","GetNextArg(,) GetNextArg(,) WriteSimpleString(,) Encoding.ASCII.GetString()","N/A","N/A","False","False","False"
"garnet-1.0.92/test/Garnet.test/TestProcedureBitmap.cs","TestProcedureBitmap","CustomTransactionProcedure","CustomProcedureBase","False","AddKey(,,) ExecuteCustomObjectCommand(,,,,) ExecuteCustomRawStringCommand(,,,,) Finalize(,,) Main(,,) Prepare(,)","Prepare","predicate non-void-command collaborator","22","Prepare(,)","C#","(TGarnetReadApi api, ref CustomProcedureInput procInput)","public override bool","override public","GetNextArg(,) GetNextArg(,) GetNextArg(,) GetNextArg(,) GetNextArg(,)","AddKey(,,) AddKey(,,) AddKey(,,)","N/A","False","False","False"
