method_name,line_number,file_name,to_static,reasoning
GetNews,66,ShareX-18.0.1/ShareX/NewsManager.cs,True,Direct Analysis
ExportNews,84,ShareX-18.0.1/ShareX/NewsManager.cs,True,Direct Analysis
CreateMetadata,153,ShareX-18.0.1/ShareX/CaptureHelpers/CaptureBase.cs,True,Direct Analysis
FindCLITask,78,ShareX-18.0.1/ShareX/ShareXCLIManager.cs,True,Direct Analysis
CheckCustomUploader,99,ShareX-18.0.1/ShareX/ShareXCLIManager.cs,True,Direct Analysis
CheckImageEffect,114,ShareX-18.0.1/ShareX/ShareXCLIManager.cs,True,Direct Analysis
CheckParameterForFilePath,157,ShareX-18.0.1/ShareX/ShareXCLIManager.cs,True,Direct Analysis
CheckCLIWorkflow,174,ShareX-18.0.1/ShareX/ShareXCLIManager.cs,True,Direct Analysis
CheckNativeMessagingInput,195,ShareX-18.0.1/ShareX/ShareXCLIManager.cs,True,Direct Analysis
CopyTexts,81,ShareX-18.0.1/ShareX/UploadInfoManager.cs,True,Direct Analysis
ParseError,403,ShareX-18.0.1/ShareX.UploadersLib/ImageUploaders/Imgur.cs,True,Direct Analysis
ParseHistoryItem,85,ShareX-18.0.1/ShareX.HistoryLib/HistoryManagerXML.cs,True,Direct Analysis
OnDoWork,61,ShareX-18.0.1/ShareX.HelpersLib/ThreadWorker.cs,True,Direct Analysis
GetHistoryItemsAsync,66,ShareX-18.0.1/ShareX.HistoryLib/HistoryManager.cs,True,Direct Analysis
IsValidHistoryItem,90,ShareX-18.0.1/ShareX.HistoryLib/HistoryManager.cs,True,Direct Analysis
GetReleases,90,ShareX-18.0.1/ShareX.HelpersLib/UpdateChecker/GitHubUpdateChecker.cs,True,Direct Analysis
GetLatestRelease,109,ShareX-18.0.1/ShareX.HelpersLib/UpdateChecker/GitHubUpdateChecker.cs,True,Direct Analysis
CleanBase64,78,ShareX-18.0.1/ShareX.UploadersLib/OAuth/OAuth2ProofKey.cs,True,Direct Analysis
OnMessageAdded,66,ShareX-18.0.1/ShareX.HelpersLib/Logger.cs,True,Direct Analysis
AppendInputDevice,341,ShareX-18.0.1/ShareX.ScreenCaptureLib/ScreenRecording/ScreenRecordingOptions.cs,True,Direct Analysis
ListEntryWithArguments,343,ShareX-18.0.1/ShareX.HelpersLib/NameParser/NameParser.cs,True,Direct Analysis
ParseCLI,97,ShareX-18.0.1/ShareX.HelpersLib/CLI/CLIManager.cs,True,Direct Analysis
OnProgressChanged,44,ShareX-18.0.1/ShareX.HelpersLib/Cryptographic/HashChecker.cs,True,Direct Analysis
HashCheckThread,86,ShareX-18.0.1/ShareX.HelpersLib/Cryptographic/HashChecker.cs,True,Direct Analysis
OnProgressChanged,90,ShareX-18.0.1/ShareX.HelpersLib/TaskEx.cs,True,Direct Analysis
HashToString,197,ShareX-18.0.1/ShareX.HelpersLib/Cryptographic/Translator.cs,True,Direct Analysis
GetProjectByBranch,38,ShareX-18.0.1/ShareX.HelpersLib/UpdateChecker/AppVeyor.cs,True,Direct Analysis
GetArtifacts,51,ShareX-18.0.1/ShareX.HelpersLib/UpdateChecker/AppVeyor.cs,True,Direct Analysis
GetArtifactDownloadURL,64,ShareX-18.0.1/ShareX.HelpersLib/UpdateChecker/AppVeyor.cs,True,Direct Analysis
