Method,Line,FilePath,Code
FillTreeView,131,ShareX-18.0.1/ShareX.HelpersLib/Controls/TabToTreeView.cs,CA1822
CreateMockHistoryItem,53,ShareX-18.0.1/ShareX.HistoryLib/HistoryManagerMock.cs,CA1822
AddDefaultGradient,118,ShareX-18.0.1/ShareX.ImageEffectsLib/Drawings/DrawTextEx.cs,CA1822
AddDefaultGradient,85,ShareX-18.0.1/ShareX.ImageEffectsLib/Filters/Glow.cs,CA1822
DrawEllipse,58,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/EllipseDrawingShape.cs,CA1822
DrawNumber,208,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/StepDrawingShape.cs,CA1822
DrawText,86,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/TextDrawingShape.cs,CA1822
GetMetadata,116,ShareX-18.0.1/ShareX.UploadersLib/FileUploaders/GoogleDrive.cs,CA1822
ExecuteRegionCaptureLight,130,ShareX-18.0.1/ShareX/CaptureHelpers/CaptureRegion.cs,CA1822
ExecuteRegionCaptureTransparent,164,ShareX-18.0.1/ShareX/CaptureHelpers/CaptureRegion.cs,CA1822
DrawDropImage,78,ShareX-18.0.1/ShareX/Forms/DropForm.cs,CA1822
UpdateImageEffectsMenu,571,ShareX-18.0.1/ShareX/Forms/MainForm.cs,CA1822
EnableDisableToolStripMenuItems,624,ShareX-18.0.1/ShareX/Forms/MainForm.cs,CA1822
ConfigureAutoUpdate,975,ShareX-18.0.1/ShareX/Forms/MainForm.cs,CA1822
RunPuushTasks,1117,ShareX-18.0.1/ShareX/Forms/MainForm.cs,CA1822
SetEnumChecked,704,ShareX-18.0.1/ShareX/Forms/TaskSettingsForm.cs,CA1822
EnableDisableToolStripMenuItems,714,ShareX-18.0.1/ShareX/Forms/TaskSettingsForm.cs,CA1822
DrawText,81,ShareX-18.0.1/ShareX.ScreenCaptureLib/Shapes/Drawing/TextDrawingShape.cs,CA1822
