Method,Line,FilePath,Code
FindExtraAndAlternativeFiles,67,jellyfin-10.11.6/Emby.Naming/AudioBook/AudioBookListResolver.cs,CA1822
CheckOrCreateMarker,108,jellyfin-10.11.6/Emby.Server.Implementations/AppBase/BaseApplicationPaths.cs,CA1822
Compare,53,jellyfin-10.11.6/Emby.Server.Implementations/Sorting/AiredEpisodeOrderComparer.cs,CA1822
UpdateItem,236,jellyfin-10.11.6/Jellyfin.Api/Controllers/ItemUpdateController.cs,CA1822
ApplyGroupingFilter,378,jellyfin-10.11.6/Jellyfin.Server.Implementations/Item/BaseItemRepository.cs,CA1822
ValidateSubFolders,605,jellyfin-10.11.6/MediaBrowser.Controller/Entities/Folder.cs,CA1822
GetVideoBitrateParamValue,2563,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
GetAudioBitrateParam,2669,jellyfin-10.11.6/MediaBrowser.Controller/MediaEncoding/EncodingHelper.cs,CA1822
AddVideoStream,102,jellyfin-10.11.6/MediaBrowser.MediaEncoding/BdInfo/BdInfoExaminer.cs,CA1822
AddAudioStream,132,jellyfin-10.11.6/MediaBrowser.MediaEncoding/BdInfo/BdInfoExaminer.cs,CA1822
AddSubtitleStream,161,jellyfin-10.11.6/MediaBrowser.MediaEncoding/BdInfo/BdInfoExaminer.cs,CA1822
FetchFromItunesInfo,365,jellyfin-10.11.6/MediaBrowser.MediaEncoding/Probing/ProbeResultNormalizer.cs,CA1822
ReadFromDictNode,428,jellyfin-10.11.6/MediaBrowser.MediaEncoding/Probing/ProbeResultNormalizer.cs,CA1822
FetchStudios,1461,jellyfin-10.11.6/MediaBrowser.MediaEncoding/Probing/ProbeResultNormalizer.cs,CA1822
FetchGenres,1500,jellyfin-10.11.6/MediaBrowser.MediaEncoding/Probing/ProbeResultNormalizer.cs,CA1822
SaveImageStub,645,jellyfin-10.11.6/MediaBrowser.Providers/Manager/ItemImageProvider.cs,CA1822
GetFirstMusicBrainzId,507,jellyfin-10.11.6/MediaBrowser.Providers/MediaInfo/AudioFileProber.cs,CA1822
SetAlbumArtistFromSongs,106,jellyfin-10.11.6/MediaBrowser.Providers/Music/AlbumMetadataService.cs,CA1822
SetAlbumFromSongs,148,jellyfin-10.11.6/MediaBrowser.Providers/Music/AlbumMetadataService.cs,CA1822
GetUrl,99,jellyfin-10.11.6/MediaBrowser.Providers/Plugins/StudioImages/StudiosImageProvider.cs,CA1822
FindMatch,153,jellyfin-10.11.6/MediaBrowser.Providers/Plugins/StudioImages/StudiosImageProvider.cs,CA1822
FetchFromFileInfoNode,724,jellyfin-10.11.6/MediaBrowser.XbmcMetadata/Parsers/BaseNfoParser.cs,CA1822
FetchFromStreamDetailsNode,757,jellyfin-10.11.6/MediaBrowser.XbmcMetadata/Parsers/BaseNfoParser.cs,CA1822
FetchFromRatingsNode,897,jellyfin-10.11.6/MediaBrowser.XbmcMetadata/Parsers/BaseNfoParser.cs,CA1822
ParseSetXml,117,jellyfin-10.11.6/MediaBrowser.XbmcMetadata/Parsers/MovieNfoParser.cs,CA1822
AddImages,819,jellyfin-10.11.6/MediaBrowser.XbmcMetadata/Savers/BaseNfoSaver.cs,CA1822
AddActors,905,jellyfin-10.11.6/MediaBrowser.XbmcMetadata/Savers/BaseNfoSaver.cs,CA1822
GetCachePath,485,jellyfin-10.11.6/src/Jellyfin.Drawing/ImageProcessor.cs,CA1822
BuildVideoItemSimpleTest,371,jellyfin-10.11.6/tests/Jellyfin.Model.Tests/Dlna/StreamBuilderTests.cs,CA1822
