Method,Line,FilePath,Code
DeleteLogFiles,31,Files-4.0.24/src/Files.App.BackgroundTasks/UpdateTask.cs,CA1822
RefreshJumpListAsync,37,Files-4.0.24/src/Files.App.BackgroundTasks/UpdateTask.cs,CA1822
GetTextBlocksFromVisualTree,212,Files-4.0.24/src/Files.App.Controls/BladeView/BladeItem.cs,CA1822
IsCtrlDown,68,Files-4.0.24/src/Files.App.Controls/GridSplitter/GridSplitter.Events.cs,CA1822
AdjustRadiusWidth,452,Files-4.0.24/src/Files.App.Controls/Storage/RingShape/RingShape.cs,CA1822
AdjustRadiusHeight,473,Files-4.0.24/src/Files.App.Controls/Storage/RingShape/RingShape.cs,CA1822
GetItemCount,17,Files-4.0.24/src/Files.App.Controls/Toolbar/Primitives/ToolbarLayout.cs,CA1822
GetElementAt,22,Files-4.0.24/src/Files.App.Controls/Toolbar/Primitives/ToolbarLayout.cs,CA1822
ArrangeItem,59,Files-4.0.24/src/Files.App.Controls/Toolbar/Primitives/ToolbarLayout.cs,CA1822
UpdateItemTemplate,222,Files-4.0.24/src/Files.App.Controls/Toolbar/Toolbar.cs,CA1822
SortByItemTypeForOverflowItemList,473,Files-4.0.24/src/Files.App.Controls/Toolbar/Toolbar.cs,CA1822
CreateToolbarButton,662,Files-4.0.24/src/Files.App.Controls/Toolbar/Toolbar.cs,CA1822
CreateToolbarToggleButton,678,Files-4.0.24/src/Files.App.Controls/Toolbar/Toolbar.cs,CA1822
CreateToolbarSeparator,695,Files-4.0.24/src/Files.App.Controls/Toolbar/Toolbar.cs,CA1822
RemoveItemFromOverflowList,742,Files-4.0.24/src/Files.App.Controls/Toolbar/Toolbar.cs,CA1822
RemoveItemFromList,753,Files-4.0.24/src/Files.App.Controls/Toolbar/Toolbar.cs,CA1822
UpdateLabel,50,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarButton/ToolbarButton.cs,CA1822
UpdateThemedIcon,99,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarButton/ToolbarButton.cs,CA1822
UpdateIconSize,113,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarButton/ToolbarButton.cs,CA1822
UpdateItemType,17,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateLabel,55,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateSubItems,69,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateContent,75,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateThemedIcon,85,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateKeyboardAcceleratorTextOverride,95,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateGroupName,105,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateCommand,115,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateCommandParameter,129,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateOverflowBehavior,143,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateIconSize,171,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
UpdateIsChecked,185,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
