Method,Line,FilePath,Code
RunAsync,18,Files-4.0.24/src/Files.App.BackgroundTasks/UpdateTask.cs,CA1822
MeasureContentWidth,159,Files-4.0.24/src/Files.App.Controls/BladeView/BladeItem.cs,CA1822
ItemTemplateChanged,340,Files-4.0.24/src/Files.App.Controls/Toolbar/Toolbar.cs,CA1822
LabelChanged,129,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarButton/ToolbarButton.cs,CA1822
ThemedIconChanged,140,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarButton/ToolbarButton.cs,CA1822
IconSizeChanged,150,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarButton/ToolbarButton.cs,CA1822
ItemTypeChanged,198,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
OverflowBehaviorChanged,205,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
LabelChanged,212,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
SubItemsChanged,224,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
ContentChanged,231,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
ThemedIconChanged,238,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
KeyboardAcceleratorTextOverrideChanged,245,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
GroupNameChanged,252,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
CommandChanged,259,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
CommandParameterChanged,266,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
IconSizeChanged,276,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
IsCheckedChanged,286,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarItem/ToolbarItem.cs,CA1822
LabelChanged,128,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarToggleButton/ToolbarToggleButton.cs,CA1822
ThemedIconChanged,139,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarToggleButton/ToolbarToggleButton.cs,CA1822
IconSizeChanged,150,Files-4.0.24/src/Files.App.Controls/Toolbar/ToolbarToggleButton/ToolbarToggleButton.cs,CA1822
CreateLocationItemFromPathAsync,72,Files-4.0.24/src/Files.App/Data/Models/PinnedFoldersManager.cs,CA1822
GetPreferences,17,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabase.cs,CA1822
SetPreferences,22,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabase.cs,CA1822
Export,104,Files-4.0.24/src/Files.App/Helpers/Layout/LayoutPreferencesDatabase.cs,CA1822
ShowSplashScreen,46,Files-4.0.24/src/Files.App/MainWindow.xaml.cs,CA1822
OnItemTypePropertyChanged,49,Files-4.0.24/src/Files.App/UserControls/KeyboardShortcut/KeyboardShortcut.Properties.cs,CA1822
OnSizePropertyChanged,54,Files-4.0.24/src/Files.App/UserControls/KeyboardShortcut/KeyboardShortcut.Properties.cs,CA1822
OnItemTypePropertyChanged,49,Files-4.0.24/src/Files.App/UserControls/KeyboardShortcut/KeyboardShortcutItem.Properties.cs,CA1822
OnTextPropertyChanged,59,Files-4.0.24/src/Files.App/UserControls/KeyboardShortcut/KeyboardShortcutItem.Properties.cs,CA1822
SetTags,19,Files-4.0.24/src/Files.App/Utils/FileTags/FileTagsDatabase.cs,CA1822
FindTag,53,Files-4.0.24/src/Files.App/Utils/FileTags/FileTagsDatabase.cs,CA1822
UpdateTag,96,Files-4.0.24/src/Files.App/Utils/FileTags/FileTagsDatabase.cs,CA1822
UpdateTag,124,Files-4.0.24/src/Files.App/Utils/FileTags/FileTagsDatabase.cs,CA1822
GetTags,152,Files-4.0.24/src/Files.App/Utils/FileTags/FileTagsDatabase.cs,CA1822
GetAll,157,Files-4.0.24/src/Files.App/Utils/FileTags/FileTagsDatabase.cs,CA1822
GetAllUnderPath,176,Files-4.0.24/src/Files.App/Utils/FileTags/FileTagsDatabase.cs,CA1822
Import,196,Files-4.0.24/src/Files.App/Utils/FileTags/FileTagsDatabase.cs,CA1822
Export,220,Files-4.0.24/src/Files.App/Utils/FileTags/FileTagsDatabase.cs,CA1822
CopyAppVersion,152,Files-4.0.24/src/Files.App/ViewModels/Settings/AboutViewModel.cs,CA1822
CopyWindowsVersion,163,Files-4.0.24/src/Files.App/ViewModels/Settings/AboutViewModel.cs,CA1822
GetAppVersion,190,Files-4.0.24/src/Files.App/ViewModels/Settings/AboutViewModel.cs,CA1822
HandleItemDragOverAsync,1100,Files-4.0.24/src/Files.App/ViewModels/UserControls/SidebarViewModel.cs,CA1822
HandleLocationItemDragOverAsync,1110,Files-4.0.24/src/Files.App/ViewModels/UserControls/SidebarViewModel.cs,CA1822
