Method,Line,FilePath,Code
FillAdditional,213,jellyfin-10.11.6/Emby.Naming/TV/EpisodePathParser.cs,CA1822
GetEnumerationOptions,705,jellyfin-10.11.6/Emby.Server.Implementations/IO/ManagedFileSystem.cs,CA1822
Map,142,jellyfin-10.11.6/Emby.Server.Implementations/Library/UserDataManager.cs,CA1822
GetUserItemDataDto,273,jellyfin-10.11.6/Emby.Server.Implementations/Library/UserDataManager.cs,CA1822
GetDeviceProfile,261,jellyfin-10.11.6/Jellyfin.Api/Controllers/UniversalAudioController.cs,CA1822
ToDeviceOptionsDto,268,jellyfin-10.11.6/Jellyfin.Server.Implementations/Devices/DeviceManager.cs,CA1822
Map,97,jellyfin-10.11.6/Jellyfin.Server.Implementations/Item/ChapterRepository.cs,CA1822
Map,36,jellyfin-10.11.6/Jellyfin.Server.Implementations/Item/KeyframeRepository.cs,CA1822
GetAncestorId,517,jellyfin-10.11.6/Jellyfin.Server/Migrations/Routines/MigrateLibraryDb.cs,CA1822
GetItemValue,561,jellyfin-10.11.6/Jellyfin.Server/Migrations/Routines/MigrateLibraryDb.cs,CA1822
PopulatePrimaryImages,258,jellyfin-10.11.6/MediaBrowser.LocalMetadata/Images/LocalImageProvider.cs,CA1822
PopulateBackdrops,358,jellyfin-10.11.6/MediaBrowser.LocalMetadata/Images/LocalImageProvider.cs,CA1822
PopulateSeasonImagesFromSeriesFolder,403,jellyfin-10.11.6/MediaBrowser.LocalMetadata/Images/LocalImageProvider.cs,CA1822
AddImage,439,jellyfin-10.11.6/MediaBrowser.LocalMetadata/Images/LocalImageProvider.cs,CA1822
ApplySearchResult,257,jellyfin-10.11.6/MediaBrowser.Providers/Manager/MetadataService.cs,CA1822
UpdateCumulativeRunTimeTicks,451,jellyfin-10.11.6/MediaBrowser.Providers/Manager/MetadataService.cs,CA1822
UpdateDateLastMediaAdded,475,jellyfin-10.11.6/MediaBrowser.Providers/Manager/MetadataService.cs,CA1822
FetchBdInfo,321,jellyfin-10.11.6/MediaBrowser.Providers/MediaInfo/FFProbeVideoInfo.cs,CA1822
FetchEmbeddedInfo,392,jellyfin-10.11.6/MediaBrowser.Providers/MediaInfo/FFProbeVideoInfo.cs,CA1822
FetchFromVideoNode,793,jellyfin-10.11.6/MediaBrowser.XbmcMetadata/Parsers/BaseNfoParser.cs,CA1822
FetchFromSubtitleNode,859,jellyfin-10.11.6/MediaBrowser.XbmcMetadata/Parsers/BaseNfoParser.cs,CA1822
GetCachePath,507,jellyfin-10.11.6/src/Jellyfin.Drawing/ImageProcessor.cs,CA1822
GetChannelFeaturesDto,565,jellyfin-10.11.6/src/Jellyfin.LiveTv/Channels/ChannelManager.cs,CA1822
GetProgram,223,jellyfin-10.11.6/src/Jellyfin.LiveTv/Listings/SchedulesDirect.cs,CA1822
GetMediaSource,187,jellyfin-10.11.6/src/Jellyfin.LiveTv/TunerHosts/HdHomerun/HdHomerunHost.cs,CA1822
CheckTunerAvailability,49,jellyfin-10.11.6/src/Jellyfin.LiveTv/TunerHosts/HdHomerun/HdHomerunManager.cs,CA1822
IsLinkLocalAddress,935,jellyfin-10.11.6/src/Jellyfin.Networking/Manager/NetworkManager.cs,CA1822
TestUrlDecoding,21,jellyfin-10.11.6/tests/Jellyfin.Server.Integration.Tests/Controllers/EncoderController.cs,CA1822
TestUrlArrayDecoding,41,jellyfin-10.11.6/tests/Jellyfin.Server.Integration.Tests/Controllers/EncoderController.cs,CA1822
UpdateItem,236,jellyfin-10.11.6/Jellyfin.Api/Controllers/ItemUpdateController.cs,CA1822
FetchFromFileInfoNode,724,jellyfin-10.11.6/MediaBrowser.XbmcMetadata/Parsers/BaseNfoParser.cs,CA1822
FetchFromStreamDetailsNode,757,jellyfin-10.11.6/MediaBrowser.XbmcMetadata/Parsers/BaseNfoParser.cs,CA1822
GetCachePath,485,jellyfin-10.11.6/src/Jellyfin.Drawing/ImageProcessor.cs,CA1822
